timestamp,principal,device,activity,message,attribute,value,anomaly,time_hdn,date,time
1635724800,System,Climate Sensmitter,Building Automation,Data,Temperature,21.464572899819707,0,000000,2021-11-01,00:00:00
1635728400,System,Smart Camera,Building Automation,Data,Presence,0,0,010000,2021-11-01,01:00:00
1635732000,System,Climate Sensmitter,Building Automation,Data,Temperature,26.369149963605004,0,020000,2021-11-01,02:00:00
1635735600,System,Climate Sensmitter,Building Automation,Data,Temperature,35.279509219778824,0,030000,2021-11-01,03:00:00
1635739200,User1,Phone,User Feedback,Data,State,silent,0,040000,2021-11-01,04:00:00
1635742800,System,Climate Sensmitter,Building Automation,Data,Temperature,27.692805999262255,0,050000,2021-11-01,05:00:00
1635746400,System,Smart Camera,Building Automation,Data,Direction,in,0,060000,2021-11-01,06:00:00
1635750000,System,Smart Camera,Building Automation,Data,Presence,0,0,070000,2021-11-01,07:00:00
1635753600,System,Climate Sensmitter,Building Automation,Data,Temperature,33.50645471801812,0,080000,2021-11-01,08:00:00
1635757200,System,Climate Sensmitter,Building Automation,Data,Temperature,33.09217413957924,0,090000,2021-11-01,09:00:00
1635768000,System,Smart Camera,Building Automation,Data,Presence,1,0,120000,2021-11-01,12:00:00
1635771600,User2,Phone,User Feedback,Data,State,convo/meeting,0,130000,2021-11-01,13:00:00
1635775200,User1,Phone,User Feedback,Data,State,convo/meeting,0,140000,2021-11-01,14:00:00
1635778800,System,Climate Sensmitter,Building Automation,Data,Temperature,37.48483678922438,0,150000,2021-11-01,15:00:00
1635782400,System,Smart Camera,Building Automation,Data,Presence,0,0,160000,2021-11-01,16:00:00
1635786000,System,Climate Sensmitter,Building Automation,Data,Temperature,39.209483628261744,0,170000,2021-11-01,17:00:00
1635789600,User1,Phone,User Feedback,Data,State,convo/meeting,0,180000,2021-11-01,18:00:00
1635793200,User2,Phone,User Feedback,Data,State,silent,0,190000,2021-11-01,19:00:00
1635796800,User2,Phone,User Feedback,Data,State,silent,0,200000,2021-11-01,20:00:00
1635800400,System,Climate Sensmitter,Building Automation,Data,Temperature,36.547992971237925,0,210000,2021-11-01,21:00:00
1635804000,System,Smart Camera,Building Automation,Data,Presence,1,0,220000,2021-11-01,22:00:00
1635807600,User1,Phone,User Feedback,Data,Count,0,0,230000,2021-11-01,23:00:00
1635811200,System,Climate Sensmitter,Building Automation,Data,Temperature,23.0756254260025,0,000000,2021-11-02,00:00:00
1635814800,System,Smart Lighting,Building Automation,Command,Brightness,135.0,0,010000,2021-11-02,01:00:00
1635818400,System,Climate Sensmitter,Building Automation,Data,Temperature,31.639056235018217,0,020000,2021-11-02,02:00:00
1635822000,User3,Phone,User Feedback,Data,State,silent,1,030000,2021-11-02,03:00:00
1635825600,User1,Phone,User Feedback,Data,State,silent,0,040000,2021-11-02,04:00:00
1635832800,System,Climate Sensmitter,Building Automation,Data,Temperature,36.83814352753308,0,060000,2021-11-02,06:00:00
1635836400,System,Climate Sensmitter,Building Automation,Data,Temperature,33.29791094091029,0,070000,2021-11-02,07:00:00
1635840000,System,Smart Camera,Building Automation,Data,Presence,0,0,080000,2021-11-02,08:00:00
1635843600,System,Smart Camera,Building Automation,Data,Direction,right,0,090000,2021-11-02,09:00:00
1635850800,System,Climate Sensmitter,Building Automation,Data,Temperature,25.75608214935588,0,110000,2021-11-02,11:00:00
1635854400,System,Smart Camera,Building Automation,Data,Direction,out,0,120000,2021-11-02,12:00:00
1635858000,System,Smart Lighting,Building Automation,Command,Brightness,210.0,0,130000,2021-11-02,13:00:00
1635861600,System,Climate Sensmitter,Building Automation,Data,Temperature,24.16781532389718,0,140000,2021-11-02,14:00:00
1635865200,User3,Phone,User Feedback,Data,State,convo/meeting,1,150000,2021-11-02,15:00:00
1635868800,System,Smart Camera,Building Automation,Data,Direction,left,0,160000,2021-11-02,16:00:00
1635876000,User1,Phone,User Feedback,Data,State,convo/meeting,0,180000,2021-11-02,18:00:00
1635879600,System,Smart Camera,Building Automation,Data,Direction,in,0,190000,2021-11-02,19:00:00
1635897600,System,Smart Camera,Building Automation,Data,Direction,right,0,000000,2021-11-03,00:00:00
1635901200,User3,Phone,User Feedback,Data,Count,0,0,010000,2021-11-03,01:00:00
1635904800,System,Smart Camera,Building Automation,Data,Direction,out,0,020000,2021-11-03,02:00:00
1635908400,System,Climate Sensmitter,Building Automation,Data,Temperature,35.035482045736615,0,030000,2021-11-03,03:00:00
1635912000,System,Smart Camera,Building Automation,Data,Direction,right,0,040000,2021-11-03,04:00:00
1635915600,System,Climate Sensmitter,Building Automation,Data,Temperature,21.202625462285845,0,050000,2021-11-03,05:00:00
1635919200,User3,Phone,User Feedback,Data,State,silent,1,060000,2021-11-03,06:00:00
1635922800,User1,Phone,User Feedback,Data,State,silent,0,070000,2021-11-03,07:00:00
1635926400,System,Smart Camera,Building Automation,Data,Direction,right,0,080000,2021-11-03,08:00:00
1635930000,User2,Phone,User Feedback,Data,State,convo/meeting,0,090000,2021-11-03,09:00:00
1635933600,System,Climate Sensmitter,Building Automation,Data,Temperature,23.81133050779554,0,100000,2021-11-03,10:00:00
1635937200,System,Smart Camera,Building Automation,Data,Presence,1,0,110000,2021-11-03,11:00:00
1635940800,System,Climate Sensmitter,Building Automation,Data,Temperature,36.541708921281035,0,120000,2021-11-03,12:00:00
1635944400,System,Smart Camera,Building Automation,Data,Direction,in,0,130000,2021-11-03,13:00:00
1635948000,User2,Phone,User Feedback,Data,State,convo/meeting,0,140000,2021-11-03,14:00:00
1635955200,System,Climate Sensmitter,Building Automation,Data,Temperature,27.887987081212536,0,160000,2021-11-03,16:00:00
1635958800,System,Climate Sensmitter,Building Automation,Data,Temperature,31.435952566199102,0,170000,2021-11-03,17:00:00
1635962400,User1,Phone,User Feedback,Data,State,convo/meeting,0,180000,2021-11-03,18:00:00
1635966000,System,Smart Camera,Building Automation,Data,Direction,out,0,190000,2021-11-03,19:00:00
